category,category2,category3,fixed_vs_variable
Allowance,Income,Income,Variable
Bank Charge,Others,Expense,Variable
Books,Extras,Expense,Variable
Car Capital,One-Off,Capital,Capital
Car Insurance,Transport (Driving),Expense,Fixed
Car Maintenance,Transport (Driving),Expense,Variable
Cashback,Income,Income,Variable
Claimable Expenses,Others,Transfer,Transfer
Club Membership,Extras,Expense,Variable
Dental,Wellness,Expense,Variable
Donation,Extras,Expense,Variable
Entertainment,Extras,Expense,Variable
Examinations,Learning,Expense,Variable
Exercise (Monthly Subscription),Wellness,Expense,Fixed
Exercise,Wellness,Expense,Variable
Eyecare (Glasses),Wellness,Expense,Variable
Fixed Deposit,Investment,Investment,Investment
Food,Subsistence,Expense,Variable Subsistence
Gifts,Extras,Expense,Variable
Google Cloud,Extras,Expense,Fixed
Google One (Yearly Subscription),Extras,Expense,Fixed
Groceries,Subsistence,Expense,Variable Subsistence
Haircut,Wellness,Expense,Variable
Health Check,Wellness,Expense,Variable
Held on Behalf,One-Off,Transfer,Transfer
House Deposit (Ackerstrasse),Extras,Expense,Variable
House Deposit,Normanton Park,Capital,Capital
House Maintenance,Mueggelstrasse,Expense,Fixed
Household Cleaning,Wellness,Expense,Variable
Housing (Berlin) Administration,Mueggelstrasse,Capital,Capital
Housing Loan (Mueggelstrasse),Mueggelstrasse,Capital,Capital
Housing Loan,Normanton Park,Capital,Capital
Housing Renovation,Normanton Park,Capital,Capital
Housing Rental Income,Normanton Park,Capital,Capital
Housing Running Costs,Normanton Park,Capital,Capital
Housing Utilities,Normanton Park,Capital,Capital
Insurance (House Contents),Insurance,Expense,Fixed
Insurance (Legal),Insurance,Expense,Fixed
Insurance (Third Party Liability),Insurance,Expense,Fixed
Insurance,Insurance,Expense,Variable
Interest,Income,Income,Variable
Internet (Berlin),Rental Costs,Expense,Fixed
Internet (VPN),Extras,Expense,Variable
Investment (Astrea XIII),Investment,Investment,Investment
Investment (Coinhako),Investment,Investment,Investment
Investment (Crowdcube),Investment,Investment,Investment
Investment (Crypto.com),Investment,Investment,Investment
Investment (Dividends),Investment,Investment,Investment
Investment (Endowus),Investment,Investment,Investment
Investment (ETF),Investment,Investment,Investment
Investment (European Sleeper),Investment,Investment,Investment
